"","skill_group_category","skill_group_name","section_name","industry_name","penetration_rate_2015","penetration_rate_2016","penetration_rate_2017","penetration_rate_2018","penetration_rate_2019"
"52","Business Skills","Administrative Assistance","Professional scientific and technical activities","Architecture & Planning",0.00152,0.00166,0.00152,0.00165,0.00714
"53","Business Skills","Administrative Assistance","Financial and insurance activities","Insurance",0.00147,0.00161,0.00251,0.00304,0.00901
"54","Business Skills","Administrative Assistance","Professional scientific and technical activities","Environmental Services",0.00125,0.00124,0.00147,0.00146,0.00575
"55","Business Skills","Administrative Assistance","Manufacturing","Automotive",0.00118,0.00134,0.00198,0.00193,0.00578
"56","Business Skills","Administrative Assistance","Professional scientific and technical activities","Market Research",0.00117,0.001,0.00187,0.00141,0.00321
"57","Business Skills","Administrative Assistance","Professional scientific and technical activities","Research",0.00116,0.00115,0.00151,0.00149,0.00467
"58","Business Skills","Administrative Assistance","Information and communication","Computer Networking",0.00115,0.00047,0.00072,0.00063,0.00202
"59","Business Skills","Administrative Assistance","Professional scientific and technical activities","Management Consulting",0.00113,0.00122,0.00162,0.00189,0.00498
"60","Business Skills","Administrative Assistance","Professional scientific and technical activities","Biotechnology",0.0011,0.00133,0.00121,0.00141,0.00454
"61","Business Skills","Administrative Assistance","Financial and insurance activities","Financial Services",0.00109,0.00129,0.00228,0.00252,0.00644
"62","Business Skills","Administrative Assistance","Mining and quarrying","Oil & Energy",0.00109,0.00118,0.00155,0.00175,0.00492
"63","Business Skills","Administrative Assistance","Professional scientific and technical activities","Events Services",0.00108,0.00075,0.00168,0.00135,0.00535
"64","Business Skills","Administrative Assistance","Professional scientific and technical activities","Design",0.00104,9e-04,0.00111,0.00092,0.00355
"65","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Gambling & Casinos",0.00102,0.00084,7e-04,0.00073,0.00206
"66","Business Skills","Administrative Assistance","Manufacturing","Machinery",0.00102,0.00085,0.00098,0.00088,0.00451
"67","Business Skills","Administrative Assistance","Manufacturing","Pharmaceuticals",0.001,0.00102,0.00122,0.00146,0.00403
"68","Business Skills","Administrative Assistance","Manufacturing","Printing",0.001,0.00099,0.00131,0.00117,0.00436
"69","Business Skills","Administrative Assistance","Professional scientific and technical activities","Public Relations & Communications",0.00099,0.00116,0.00114,0.00092,0.00583
"70","Business Skills","Administrative Assistance","Manufacturing","Chemicals",0.00091,0.001,0.00074,0.00074,0.00305
"71","Business Skills","Administrative Assistance","Manufacturing","Electrical & Electronic Manufacturing",0.00091,0.00093,0.00088,0.00091,0.00366
"72","Business Skills","Administrative Assistance","Manufacturing","Food Production",9e-04,0.00099,0.00081,0.00087,0.00489
"73","Business Skills","Administrative Assistance","Professional scientific and technical activities","Mechanical Or Industrial Engineering",0.00088,0.00094,0.00084,0.00109,0.00421
"74","Business Skills","Administrative Assistance","Information and communication","Information Technology & Services",0.00087,0.00088,0.00144,0.00149,0.00365
"75","Business Skills","Administrative Assistance","Mining and quarrying","Mining & Metals",0.00087,0.00094,0.00078,0.00112,0.00417
"76","Business Skills","Administrative Assistance","Information and communication","Internet",0.00086,0.00107,0.00198,0.00178,0.00423
"77","Business Skills","Administrative Assistance","Manufacturing","Packaging & Containers",0.00078,0.00054,0.00062,0.00085,0.00362
"78","Business Skills","Administrative Assistance","Information and communication","Publishing",0.00075,6e-04,0.00086,0.00091,0.0035
"79","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Museums & Institutions",0.00074,3e-04,0.00121,0.00092,0.00491
"80","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Arts & Crafts",0.00073,0.00062,3e-04,0.00046,0.00219
"81","Business Skills","Administrative Assistance","Professional scientific and technical activities","Photography",0.00072,5e-04,0.00031,0.00025,0.00096
"82","Business Skills","Administrative Assistance","Professional scientific and technical activities","Professional Training & Coaching",0.00072,0.00079,0.00062,7e-04,0.0048
"83","Business Skills","Administrative Assistance","Information and communication","Computer Software",7e-04,0.00083,0.00101,0.00124,0.00336
"84","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Sports",0.00067,0.00048,0.00083,8e-04,0.00338
"85","Business Skills","Administrative Assistance","Manufacturing","Plastics",0.00066,0.00077,0.00065,0.00105,0.00248
"86","Business Skills","Administrative Assistance","Professional scientific and technical activities","Information Services",0.00066,0.00064,0.00135,0.00142,0.00387
"87","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Entertainment",0.00066,0.00071,0.00126,0.00121,0.00429
"88","Business Skills","Administrative Assistance","Professional scientific and technical activities","Marketing & Advertising",0.00065,0.00086,0.00139,0.00158,0.00435
"89","Business Skills","Administrative Assistance","Information and communication","Writing & Editing",0.00063,0.00099,0.00093,0.00138,0.00433
"90","Business Skills","Administrative Assistance","Information and communication","Semiconductors",0.00062,0.00059,0.00036,0.00027,0.00141
"91","Business Skills","Administrative Assistance","Information and communication","Telecommunications",0.00061,0.00073,0.00104,0.00131,0.00339
"92","Business Skills","Administrative Assistance","Manufacturing","Textiles",6e-04,0.00054,0.00062,0.00065,0.00429
"93","Business Skills","Administrative Assistance","Financial and insurance activities","Banking",0.00057,0.00073,0.00159,0.00154,0.00427
"94","Business Skills","Administrative Assistance","Manufacturing","Renewables & Environment",0.00055,0.00051,0.00053,0.00088,0.00423
"95","Business Skills","Administrative Assistance","Manufacturing","Industrial Automation",0.00054,0.00059,0.00067,0.00046,0.00303
"96","Business Skills","Administrative Assistance","Manufacturing","Aviation & Aerospace",0.00054,5e-04,0.00065,0.00081,0.00314
"97","Business Skills","Administrative Assistance","Information and communication","Media Production",0.00039,4e-04,0.00011,0.00062,0.0019
"98","Business Skills","Administrative Assistance","Information and communication","Broadcast Media",0.00039,4e-04,0.00058,0.00052,0.00312
"99","Business Skills","Administrative Assistance","Information and communication","Online Media",0.00038,0.00034,0.00063,0.00029,0.00177
"100","Business Skills","Administrative Assistance","Professional scientific and technical activities","Graphic Design",0.00033,0.00048,0.00021,5e-04,0.0013
"101","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Fine Art",0.00025,0.00015,0.00033,0.00048,0.00077
"102","Business Skills","Administrative Assistance","Information and communication","Computer & Network Security",0.00024,0.00048,0.00024,0.00036,0.00324
"103","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Performing Arts",0.00021,0.00025,0.00049,0.00057,0.00248
"104","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Music",0.00015,0.00027,0.00071,0.00083,0.00245
"105","Business Skills","Advertising","Professional scientific and technical activities","Marketing & Advertising",0.0657,0.06039,0.06537,0.06571,0.07188
"106","Business Skills","Advertising","Information and communication","Online Media",0.03774,0.03468,0.02884,0.03086,0.03635
"107","Business Skills","Advertising","Information and communication","Broadcast Media",0.03349,0.02833,0.02399,0.02319,0.02453
"108","Business Skills","Advertising","Information and communication","Newspapers",0.03086,0.02555,0.01505,0.01617,0.01548
"109","Business Skills","Advertising","Information and communication","Internet",0.02744,0.02349,0.02025,0.01998,0.02111
"110","Business Skills","Advertising","Information and communication","Publishing",0.02742,0.02552,0.02167,0.02225,0.02427
"111","Business Skills","Advertising","Manufacturing","Printing",0.02486,0.02064,0.01179,0.00771,0.00807
"112","Business Skills","Advertising","Information and communication","Media Production",0.02482,0.02326,0.01984,0.02434,0.02486
"113","Business Skills","Advertising","Professional scientific and technical activities","Graphic Design",0.02464,0.01923,0.01382,0.0154,0.01221
"114","Business Skills","Advertising","Arts, entertainment and recreation","Sports",0.02117,0.01691,0.01082,0.01111,0.01273
"115","Business Skills","Advertising","Professional scientific and technical activities","Public Relations & Communications",0.01769,0.0173,0.01547,0.01543,0.02013
"116","Business Skills","Advertising","Professional scientific and technical activities","Photography",0.01667,0.01474,0.00971,0.01008,0.00573
"117","Business Skills","Advertising","Arts, entertainment and recreation","Entertainment",0.01577,0.01312,0.00992,0.0105,0.01055
"118","Business Skills","Advertising","Professional scientific and technical activities","Events Services",0.01198,0.00917,0.00491,0.00743,0.00965
"119","Business Skills","Advertising","Information and communication","Motion Pictures & Film",0.01142,0.011,0.0089,0.0091,0.006
"120","Business Skills","Advertising","Professional scientific and technical activities","Design",0.01107,0.01035,0.01105,0.01014,0.01094
"121","Business Skills","Advertising","Professional scientific and technical activities","Market Research",0.00852,0.01003,0.01057,0.01035,0.01087
"122","Business Skills","Advertising","Arts, entertainment and recreation","Music",0.0073,0.00615,0.00354,0.00583,0.00548
"123","Business Skills","Advertising","Information and communication","Computer Games",0.00524,0.00523,0.00243,0.00321,0.00335
"124","Business Skills","Advertising","Arts, entertainment and recreation","Gambling & Casinos",0.00497,0.00286,7e-04,0.0017,0.00137
"125","Business Skills","Advertising","Information and communication","Writing & Editing",0.00334,0.0026,0.0042,0.00551,0.00748
"126","Business Skills","Advertising","Professional scientific and technical activities","Information Services",0.00319,0.00312,0.00269,0.0027,0.00526
"127","Business Skills","Advertising","Information and communication","Computer Software",0.00318,0.00439,0.0051,0.00594,0.00762
"128","Business Skills","Advertising","Information and communication","Information Technology & Services",0.00302,0.00321,0.00397,0.00477,0.00584
"129","Business Skills","Advertising","Arts, entertainment and recreation","Arts & Crafts",0.00293,0.00278,0.00119,0.00139,0.00131
"130","Business Skills","Advertising","Arts, entertainment and recreation","Fine Art",0.00259,0.00183,0.00132,0.00096,0.00051
"131","Business Skills","Advertising","Professional scientific and technical activities","Management Consulting",0.00251,0.00243,0.00268,0.00312,0.00556
"132","Business Skills","Advertising","Professional scientific and technical activities","Professional Training & Coaching",0.00213,0.00276,0.00166,0.00397,0.00487
"133","Business Skills","Advertising","Information and communication","Telecommunications",0.0018,0.00166,0.00157,0.00228,0.00321
"134","Business Skills","Advertising","Arts, entertainment and recreation","Health, Wellness & Fitness",0.00175,0.00211,0.00224,0.00328,0.00502
"135","Business Skills","Advertising","Manufacturing","Automotive",0.00172,0.00179,0.00161,0.00195,0.00314
"136","Business Skills","Advertising","Arts, entertainment and recreation","Performing Arts",0.00165,0.00101,0.00025,0.00095,0.00191
"137","Business Skills","Advertising","Financial and insurance activities","Financial Services",0.00158,0.00174,0.0017,0.00239,0.00339
"138","Business Skills","Advertising","Manufacturing","Textiles",0.00151,0.00125,0.00047,0.00076,0.0026
"139","Business Skills","Advertising","Arts, entertainment and recreation","Museums & Institutions",0.00148,9e-04,3e-04,0.00069,0.00147
"140","Business Skills","Advertising","Professional scientific and technical activities","Outsourcing/Offshoring",0.00127,0.00177,0.00095,0.00192,0.00431
"141","Business Skills","Advertising","Manufacturing","Food Production",0.00125,0.00099,0.00112,0.00087,0.00225
"142","Business Skills","Advertising","Professional scientific and technical activities","Law Practice",0.00119,0.00123,4e-04,0.00125,0.00272
"143","Business Skills","Advertising","Professional scientific and technical activities","Legal Services",0.00098,0.00093,3e-04,0.00131,0.00198
"144","Business Skills","Advertising","Financial and insurance activities","Banking",0.00098,0.00098,0.00051,0.00093,0.00156
"145","Business Skills","Advertising","Financial and insurance activities","Investment Management",0.00097,7e-04,0.00038,0.00099,0.00268
"146","Business Skills","Advertising","Professional scientific and technical activities","Architecture & Planning",0.00097,9e-04,0.00076,0.00078,0.00181
"147","Business Skills","Advertising","Information and communication","Computer & Network Security",0.00097,6e-04,0.00024,9e-04,0.00243
"148","Business Skills","Advertising","Financial and insurance activities","Insurance",0.00096,0.00124,0.00089,0.00133,0.00277
"149","Business Skills","Advertising","Information and communication","Computer Hardware",0.00086,0.00069,0.00059,0.00042,0.0028
"150","Business Skills","Advertising","Arts, entertainment and recreation","Animation",0.00077,0.00187,0.00183,0.00339,0.00516
"151","Business Skills","Advertising","Manufacturing","Electrical & Electronic Manufacturing",0.00071,0.00096,0.00069,0.00161,0.0025
"152","Business Skills","Advertising","Professional scientific and technical activities","Accounting",0.00069,0.00057,0.00073,0.00089,0.00187
"153","Business Skills","Advertising","Professional scientific and technical activities","Executive Office",0.00063,0.00038,0.00041,0.00029,0.00031
"154","Business Skills","Advertising","Manufacturing","Pharmaceuticals",0.00053,0.00047,0.00049,0.00073,0.00178
"155","Business Skills","Advertising","Professional scientific and technical activities","Mechanical Or Industrial Engineering",0.00052,0.00041,0.00053,0.00092,0.00198
"156","Business Skills","Advertising","Manufacturing","Chemicals",0.00051,5e-04,0.00034,0.00047,0.00182
"157","Business Skills","Advertising","Manufacturing","Machinery",0.00043,5e-04,0.00084,0.00134,0.00223
"158","Business Skills","Advertising","Manufacturing","Industrial Automation",0.00042,0.00033,4e-04,0.00093,0.00199
"159","Business Skills","Advertising","Manufacturing","Renewables & Environment",0.00036,0.00031,0.00021,0.00088,0.00166
"160","Business Skills","Advertising","Professional scientific and technical activities","Environmental Services",0.00032,5e-04,0.00029,0.00044,0.0016
"161","Business Skills","Advertising","Manufacturing","Packaging & Containers",0.00031,0.00027,0.00041,0.00014,0.00116
"162","Business Skills","Advertising","Professional scientific and technical activities","Research",3e-04,0.00028,0.00029,0.00055,0.00052
"163","Business Skills","Advertising","Professional scientific and technical activities","Biotechnology",0.00025,0.00012,0.00024,0.00047,0.00145
"164","Business Skills","Advertising","Mining and quarrying","Oil & Energy",0.00023,0.00024,0.00021,0.00018,0.00062
"165","Business Skills","Affiliate Marketing","Professional scientific and technical activities","Marketing & Advertising",0.00056,0.00058,0.00078,0.00069,0.00152
"166","Business Skills","Affiliate Marketing","Information and communication","Internet",0.00051,0.00041,0.00047,0.00043,0.00095
"167","Business Skills","Affiliate Marketing","Arts, entertainment and recreation","Health, Wellness & Fitness",0.00012,0.00014,0.00016,0.00017,0.00055
"168","Business Skills","Auditing","Professional scientific and technical activities","Accounting",0.03686,0.03192,0.02877,0.02544,0.02839
"169","Business Skills","Auditing","Professional scientific and technical activities","Management Consulting",0.00729,0.00619,0.00621,0.0059,0.00765
"170","Business Skills","Auditing","Financial and insurance activities","Insurance",0.00483,0.00371,0.00221,0.00174,0.0038
"171","Business Skills","Auditing","Financial and insurance activities","Financial Services",0.00452,0.00399,0.00377,0.00376,0.00485
"172","Business Skills","Auditing","Mining and quarrying","Oil & Energy",0.0044,0.00325,0.00246,0.00222,0.00342
"173","Business Skills","Auditing","Financial and insurance activities","Investment Management",0.00407,0.00332,0.00358,0.00267,0.00451
"174","Business Skills","Auditing","Mining and quarrying","Mining & Metals",0.00398,0.00274,0.00132,0.00159,0.00253
"175","Business Skills","Auditing","Financial and insurance activities","Banking",0.00346,0.00301,0.00279,0.00264,0.00357
"176","Business Skills","Auditing","Manufacturing","Textiles",0.0034,0.00286,0.0014,0.00109,0.00203
"177","Business Skills","Auditing","Manufacturing","Packaging & Containers",0.00333,0.00236,0.00144,0.00142,0.00145
"178","Business Skills","Auditing","Manufacturing","Food Production",0.00315,0.00246,0.00181,0.00193,0.00312
"179","Business Skills","Auditing","Manufacturing","Chemicals",0.00305,0.00249,0.00134,0.00168,0.00214
"180","Business Skills","Auditing","Manufacturing","Pharmaceuticals",0.00237,0.00206,0.00136,0.00177,0.00264
"181","Business Skills","Auditing","Manufacturing","Paper & Forest Products",0.00233,0.00099,0.00125,0.00066,0.00191
"182","Business Skills","Auditing","Manufacturing","Electrical & Electronic Manufacturing",0.00233,0.00169,0.00116,0.00151,0.00183
"183","Business Skills","Auditing","Information and communication","Semiconductors",0.00212,0.00101,0.00036,4e-04,0.00042
"184","Business Skills","Auditing","Manufacturing","Automotive",0.00205,0.00148,0.00086,0.0012,0.00156
"185","Business Skills","Auditing","Professional scientific and technical activities","Biotechnology",0.00201,0.00167,6e-04,0.00075,0.00135
"186","Business Skills","Auditing","Manufacturing","Renewables & Environment",0.00196,0.00159,0.00053,0.00112,0.00199
"187","Business Skills","Auditing","Professional scientific and technical activities","Mechanical Or Industrial Engineering",0.00184,0.00135,0.00129,0.00102,0.00159
"188","Business Skills","Auditing","Manufacturing","Machinery",0.00182,0.00162,0.00098,0.00083,0.00164
"189","Business Skills","Auditing","Information and communication","Telecommunications",0.00172,0.00127,0.00083,0.00092,0.00124
"190","Business Skills","Auditing","Manufacturing","Plastics",0.00169,0.00099,0.00109,0.00045,0.0014
"191","Business Skills","Auditing","Arts, entertainment and recreation","Gambling & Casinos",0.00161,0.00151,0.00104,0.00024,0.00091
"192","Business Skills","Auditing","Professional scientific and technical activities","Environmental Services",0.00145,0.00129,0.00059,0.00095,0.00104
"193","Business Skills","Auditing","Manufacturing","Aviation & Aerospace",0.00134,0.00081,0.00056,0.00103,0.00092
"194","Business Skills","Auditing","Information and communication","Information Technology & Services",0.00131,0.00118,0.00076,0.00094,0.00102
"195","Business Skills","Auditing","Information and communication","Computer Software",0.00124,0.00088,0.00059,0.00066,7e-04
"196","Business Skills","Auditing","Professional scientific and technical activities","Law Practice",0.00107,8e-04,4e-04,0.00046,0.00086
"197","Business Skills","Auditing","Arts, entertainment and recreation","Entertainment",0.00103,0.00084,5e-04,0.00044,0.00082
"198","Business Skills","Auditing","Professional scientific and technical activities","Legal Services",0.00098,0.001,0.00074,0.00066,0.00132
"199","Business Skills","Auditing","Information and communication","Broadcast Media",0.00097,0.00049,0.00029,0.00015,0.00031
"200","Business Skills","Auditing","Manufacturing","Industrial Automation",0.00096,0.00091,0.00027,0.00028,0.00076
"201","Business Skills","Auditing","Information and communication","Internet",0.00095,0.00072,5e-04,0.00052,0.00071
"202","Business Skills","Auditing","Professional scientific and technical activities","Outsourcing/Offshoring",0.00075,0.00059,0.00019,0.00043,0.00045
"203","Business Skills","Auditing","Professional scientific and technical activities","Research",7e-04,0.00045,0.00014,0.00022,4e-04
"204","Business Skills","Auditing","Information and communication","Publishing",7e-04,0.00027,0.00014,0.00011,0.00023
"205","Business Skills","Auditing","Professional scientific and technical activities","Marketing & Advertising",7e-04,0.00056,0.00042,0.00059,0.00062
"206","Business Skills","Auditing","Professional scientific and technical activities","Architecture & Planning",0.00055,0.00021,0.00013,0.00019,1e-04
"207","Business Skills","Auditing","Arts, entertainment and recreation","Health, Wellness & Fitness",0.00049,0.00056,0.00028,4e-04,0.00055
"208","Business Skills","Auditing","Professional scientific and technical activities","Events Services",0.00034,0.00075,0.00024,1e-04,0.00029
"209","Business Skills","Auditing","Professional scientific and technical activities","Professional Training & Coaching",0.00032,0.00017,1e-04,0.00016,3e-04
"210","Business Skills","Auditing","Professional scientific and technical activities","Design",0.00024,0.00024,0.00019,0.00028,0.00014
"211","Business Skills","Bookkeeping","Professional scientific and technical activities","Accounting",0.01538,0.01558,0.01976,0.01901,0.02378
"212","Business Skills","Bookkeeping","Professional scientific and technical activities","Law Practice",0.00239,0.00232,0.00241,0.00171,0.0037
"213","Business Skills","Bookkeeping","Professional scientific and technical activities","Executive Office",0.00143,0.00226,0.0029,0.00259,0.00429
"214","Business Skills","Bookkeeping","Manufacturing","Printing",0.00137,0.00177,0.00109,0.00101,0.00161
"215","Business Skills","Bookkeeping","Mining and quarrying","Oil & Energy",0.00124,0.0011,0.00074,0.00099,0.00262
"216","Business Skills","Bookkeeping","Manufacturing","Packaging & Containers",0.00109,0.00091,0.00082,0.00057,0.00116
"217","Business Skills","Bookkeeping","Manufacturing","Food Production",0.00109,0.00084,0.00075,0.00106,0.00254
"218","Business Skills","Bookkeeping","Professional scientific and technical activities","Legal Services",0.00104,0.00069,0.00148,0.0012,0.00264
"219","Business Skills","Bookkeeping","Financial and insurance activities","Venture Capital & Private Equity",0.00102,0.0011,0.00065,0.00102,0.00249
"220","Business Skills","Bookkeeping","Manufacturing","Machinery",0.00099,0.00108,7e-04,0.00108,0.00228
"221","Business Skills","Bookkeeping","Manufacturing","Textiles",0.00098,0.00098,0.00078,0.00098,0.00248
"222","Business Skills","Bookkeeping","Manufacturing","Electrical & Electronic Manufacturing",0.00093,0.00079,0.00079,0.00088,0.00197
"223","Business Skills","Bookkeeping","Manufacturing","Automotive",0.00092,0.00098,0.00098,0.00107,0.00212
"224","Business Skills","Bookkeeping","Financial and insurance activities","Financial Services",0.00091,0.00094,0.00126,0.00145,0.00241
"225","Business Skills","Bookkeeping","Professional scientific and technical activities","Environmental Services",0.00089,0.00065,0.00118,0.00081,0.0016
"226","Business Skills","Bookkeeping","Manufacturing","Plastics",0.00085,0.00055,0.00065,6e-04,0.00124
"227","Business Skills","Bookkeeping","Professional scientific and technical activities","Mechanical Or Industrial Engineering",0.00073,6e-04,0.00062,0.00075,0.00173
"228","Business Skills","Bookkeeping","Professional scientific and technical activities","Architecture & Planning",0.00073,9e-04,0.00139,0.00087,9e-04
"229","Business Skills","Bookkeeping","Information and communication","Information Technology & Services",0.00068,0.00073,0.00091,0.00098,0.00171
"230","Business Skills","Bookkeeping","Manufacturing","Chemicals",0.00066,6e-04,0.00034,0.00068,0.00182
"231","Business Skills","Bookkeeping","Manufacturing","Industrial Automation",0.00066,0.00059,0.00054,0.00046,0.00095
"232","Business Skills","Bookkeeping","Financial and insurance activities","Insurance",0.00065,0.00063,0.00058,0.00076,0.00165
"233","Business Skills","Bookkeeping","Professional scientific and technical activities","Marketing & Advertising",0.00064,0.00067,0.00061,0.00089,0.00129
"234","Business Skills","Bookkeeping","Professional scientific and technical activities","Outsourcing/Offshoring",0.00063,0.00053,0.00085,0.00121,0.0018
"235","Business Skills","Bookkeeping","Information and communication","Computer Software",0.00058,0.00049,0.00073,0.00066,0.00119
"236","Business Skills","Bookkeeping","Manufacturing","Paper & Forest Products",0.00055,0.00042,0.00063,0.00066,0.00119
"237","Business Skills","Bookkeeping","Arts, entertainment and recreation","Health, Wellness & Fitness",0.00053,0.00059,0.00052,0.00046,0.00104
"238","Business Skills","Bookkeeping","Professional scientific and technical activities","Events Services",0.00051,0.00057,6e-04,0.00077,0.00115
"239","Business Skills","Bookkeeping","Financial and insurance activities","Investment Management",0.00048,0.00044,0.00075,7e-04,0.00141
